age,income,buys_house
59,1073915,1
49,858323,0
35,1629937,0
63,344938,1
28,1090936,0
41,363377,0
59,1179907,1
39,413968,0
43,588388,1
31,494957,1
31,1178190,1
44,990944,0
56,450703,0
60,1664458,1
44,1396278,1
23,317907,0
42,405591,0
22,593852,0
44,1185461,0
64,1837455,1
50,723869,0
58,1458209,0
22,1716608,1
41,997783,0
53,1893397,1
32,827915,0
42,1696976,0
64,1376957,1
45,1606427,1
47,1186684,1
62,1592398,1
48,797597,1
36,1997938,1
35,867861,1
64,1099145,1
23,1736697,1
57,236382,0
27,946714,0
41,1062219,1
29,1271917,0
59,1918303,1
38,1474856,1
24,1903930,0
45,1449516,0
34,605218,0
29,810108,0
46,1308525,1
22,608916,0
40,934665,1
48,1835407,1
27,683075,0
64,1190003,1
28,712472,0
55,1977310,1
34,527370,0
37,1031599,0
56,1457427,0
60,1407587,1
24,654581,0
22,267381,0
26,1033142,0
62,478910,0
24,302416,0
49,1785644,1
38,1297034,1
46,1042653,0
64,1760290,1
54,1750184,1
30,551637,1
56,1228212,1
34,627562,0
51,1103282,0
35,377946,0
28,1143652,0
34,1280109,0
43,1094576,0
60,1633122,1
41,1064899,1
36,463503,0
38,319119,0
44,421140,0
46,1531064,1
45,1104931,0
61,531922,0
49,482745,0
35,1494416,1
21,1960921,1
45,1611733,1
27,1760121,1
29,1541502,0
44,1883959,1
21,643035,0
64,1201920,0
28,559267,0
44,1110657,1
31,863440,0
37,1206247,0
28,889317,0
55,1655700,1
55,558332,1
53,951240,1
25,321292,0
62,290570,0
59,684540,1
61,1195791,1
48,323791,0
27,1164986,1
29,1741121,1
28,715689,0
32,1084807,0
54,1811178,1
53,956349,0
43,930281,0
44,1725560,0
57,1619600,0
55,562470,1
64,346903,0
60,245708,1
42,1613126,1
47,1724616,1
55,1415442,1
21,1570092,0
55,1812341,1
57,683157,0
34,1418385,1
23,333692,0
21,694166,0
25,958529,0
46,1414705,0
34,1157642,0
59,934750,0
47,253024,1
29,1651469,1
35,1423759,1
35,1403722,0
46,742112,1
62,718534,0
33,248926,0
52,1416508,0
59,475119,0
52,1061309,1
24,1997613,1
50,1854235,1
57,881908,0
43,563114,1
59,683791,0
35,1870930,1
63,894096,1
49,261562,1
56,1551129,1
33,996266,1
52,1875056,1
27,725128,0
42,934769,0
48,231568,0
22,997278,1
62,861259,1
26,810326,1
48,1445749,1
48,1156277,0
64,329789,1
64,1618180,1
40,701994,1
50,274723,0
31,963043,0
48,566338,1
45,1121815,1
59,1829752,1
53,907494,1
21,1733017,1
47,992515,0
33,1916534,0
61,1593196,1
23,1235211,0
59,292416,0
26,847122,0
28,1885012,1
47,1961331,1
29,995818,1
57,515315,1
53,350594,0
62,920892,0
64,684976,0
44,1282121,1
35,385151,0
52,235790,0
52,775300,0
44,317827,0
61,1229625,0
32,1508699,1
59,1262836,1
22,396211,0
23,635892,0
57,340547,0
37,1458062,0
22,346192,0
22,1664939,1
48,464130,1
43,887790,0
57,962857,1
52,1304055,1
53,1724758,1
21,592977,0
39,1512896,0
22,808546,1
64,1487999,1
46,577332,0
52,284153,0
26,1965854,1
52,983930,0
24,620331,0
31,958272,1
37,1326018,0
58,1305700,1
44,511896,0
25,1508064,1
54,278947,0
26,1061148,1
42,641209,0
31,296496,0
36,1975373,1
53,1025329,1
29,1168410,1
26,513760,0
36,1510613,0
49,701935,1
23,570134,0
40,1470612,1
56,1714728,1
39,894934,0
46,1240835,1
23,535076,0
39,469482,0
40,1422366,0
52,1392148,1
27,342617,0
61,785768,1
53,860601,0
60,1468962,0
59,1140325,1
38,204695,0
60,932426,0
21,1230120,0
31,1234780,0
48,1787182,1
45,1037366,1
43,1664123,0
51,1632002,1
50,1956608,1
62,1340467,1
55,670076,0
27,949045,0
36,1317330,0
46,1072109,0
22,1644629,1
21,587405,0
32,713904,1
25,1232120,0
57,567482,1
52,764365,0
29,542059,0
61,1908175,1
55,1490080,1
39,1203852,0
36,1540389,1
23,1035056,0
40,1908086,0
44,1915045,0
53,881376,1
44,1915872,0
31,342108,0
28,1156740,1
56,1393669,1
58,1762270,1
60,1023375,1
40,313694,0
55,434456,0
45,412079,0
55,1492845,1
45,643232,0
49,616460,0
38,1704819,0
38,323351,0
22,501129,0
55,1221480,1
36,1040268,1
61,1776634,1
56,1029297,1
53,253811,0
24,466145,0
53,1833712,1
34,252635,1
41,220946,0
40,1183638,1
28,820140,0
27,1601823,1
23,685260,0
37,1366305,1
53,894519,0
32,1534391,1
42,871810,1
42,1699067,1
50,1161862,1
58,1677310,1
58,1568533,1
28,296748,0
47,1648598,0
47,829021,0
54,1158395,0
41,1375441,0
50,1594271,1
53,1115767,1
48,501364,0
53,1527878,1
25,1067424,0
39,1145092,1
24,1835440,1
55,355260,0
37,1472263,1
64,520974,1
48,1907955,1
50,212419,0
49,1806561,1
26,1595652,1
55,581856,0
61,1746360,1
57,1868292,1
44,1911909,1
49,963361,1
51,810937,1
55,584793,0
53,1521856,0
41,1048934,0
52,1410933,1
43,1248025,1
53,1371744,1
23,1861127,0
38,259155,0
45,1265487,1
62,1773780,1
51,1045484,1
23,662326,1
60,956983,0
44,479934,0
52,676377,0
42,598422,0
43,321937,0
22,1333629,0
47,1560670,1
62,578355,1
22,1548416,0
46,1723433,1
37,1218696,1
60,1185730,0
53,1875259,1
29,1239474,0
63,517545,1
59,1445874,0
49,749391,1
62,627479,0
46,1718413,1
55,1560764,1
45,1830594,1
44,1274401,0
33,1980192,1
27,697393,0
56,1285847,0
40,1325832,0
21,1688524,0
28,1315009,0
36,937990,1
34,1350575,1
32,956350,0
43,1796436,1
35,762834,0
48,1040597,1
54,1050122,0
22,646880,1
52,675551,1
43,930559,0
42,721727,1
45,236948,1
42,1873683,0
42,553351,0
62,1732713,1
26,1063204,0
35,746312,1
63,1855776,1
57,979521,1
53,1482322,0
28,611373,0
64,1743912,1
64,1599273,0
25,1905692,0
59,1480325,1
24,1208507,1
26,826776,0
52,821029,0
50,1961987,1
55,431773,0
60,1182099,1
36,1588930,1
33,1422742,0
62,1750642,1
50,1991825,0
39,1212889,0
37,597751,0
39,1697827,0
48,716031,1
46,247367,0
57,1134622,1
46,1701604,1
43,1832748,1
29,1707960,0
32,868640,0
21,607962,0
21,564716,0
54,777539,1
52,1333397,1
45,1856447,1
60,444697,1
21,1258783,1
36,926487,0
59,1276333,1
25,1133730,1
42,654623,1
49,1924192,1
23,1020254,0
32,1510646,0
46,241340,0
36,442955,0
57,1169738,1
42,1092743,0
49,1848184,1
34,1613285,0
48,1243131,1
25,628373,0
50,1530657,0
25,1164211,0
